Designator,Mid X,Mid Y,Layer,Rotation
C1,146.05,-106.68,T,270.0
C2,158.75,-106.68,T,90.0
C3,132.08,-62.992,T,90.0
C4,130.048,-62.484,T,90.0
C5,127.508,-61.214,T,0.0
D1,114.3,-106.68,T,270.0
D2,128.27,-109.22,T,180.0
D3,135.89,-106.68,T,270.0
D4,140.849527,-136.411129,T,270.0
D5,143.38479,-136.411129,T,270.0
D6,150.990579,-136.411129,T,270.0
D7,153.525844,-136.411129,T,270.0
D8,145.920053,-136.411129,T,270.0
D9,148.455316,-136.411129,T,270.0
F1,118.0,-113.75,T,270.0
F2,130.0,-113.75,T,270.0
F3,170.0,-136.25,T,90.0
F4,182.0,-136.25,T,90.0
J1,170.0,-140.0,T,270.0
J10,132.847,-139.897,T,270.0
J11,177.46,-60.0,T,90.0
J12,195.0625,-128.905,T,180.0
J13,140.84,-140.0,T,90.0
J14,110.0,-130.0,T,0.0
J2,185.0,-140.0,T,270.0
J3,190.0,-85.0,T,0.0
J4,190.0,-100.0,T,0.0
J5,110.0,-90.0,T,180.0
J6,110.0,-75.08,T,180.0
J7,190.0,-67.38,T,0.0
J8,110.0,-100.0,T,180.0
J9,120.0,-140.0,T,270.0
Q1,175.26,-83.82,T,180.0
Q10,179.07,-109.22,T,180.0
Q11,175.26,-74.93,T,180.0
Q12,175.26,-71.12,T,180.0
Q2,175.26,-87.63,T,180.0
Q3,173.355,-109.22,T,180.0
Q4,167.005,-109.22,T,180.0
Q5,124.46,-83.312,T,0.0
Q6,124.46,-86.995,T,0.0
Q7,185.42,-109.22,T,180.0
Q8,124.46,-71.12,T,0.0
Q9,124.46,-74.93,T,0.0
R1,113.284,-99.251,T,90.0
R10,143.38479,-133.35,T,90.0
R11,150.990579,-133.35,T,90.0
R12,153.525844,-133.35,T,90.0
R13,132.08,-97.79,T,180.0
R14,143.51,-97.79,T,0.0
R15,135.89,-97.79,T,0.0
R16,145.920053,-133.35,T,90.0
R17,139.7,-97.79,T,180.0
R18,148.455316,-133.35,T,90.0
R19,170.18,-109.22,T,90.0
R2,128.81,-105.41,T,0.0
R20,171.45,-83.82,T,270.0
R21,179.07,-83.82,T,270.0
R22,171.45,-87.63,T,270.0
R23,179.07,-87.63,T,90.0
R24,171.45,-105.41,T,180.0
R25,167.64,-95.25,T,0.0
R26,128.27,-83.312,T,90.0
R27,120.65,-83.82,T,270.0
R28,128.27,-86.995,T,90.0
R29,120.65,-86.995,T,90.0
R3,128.81,-101.6,T,180.0
R30,182.245,-109.22,T,90.0
R31,128.27,-71.12,T,90.0
R32,120.65,-71.12,T,270.0
R33,128.27,-74.93,T,90.0
R34,120.65,-74.93,T,90.0
R35,182.88,-105.41,T,180.0
R36,179.07,-95.25,T,0.0
R37,171.45,-74.93,T,270.0
R38,179.07,-74.93,T,90.0
R39,171.45,-71.12,T,270.0
R4,127.508,-63.754,T,0.0
R40,179.07,-71.12,T,270.0
R41,167.64,-105.41,T,180.0
R42,178.625,-105.41,T,180.0
R5,116.84,-97.79,T,180.0
R6,128.27,-97.79,T,0.0
R7,120.65,-97.79,T,0.0
R8,140.849527,-133.35,T,90.0
R9,124.46,-97.79,T,180.0
RV1,140.97,-102.86,T,90.0
SW1,129.54,-56.896,T,0.0
SW2,170.688,-56.896,T,0.0
SW3,170.18,-100.33,T,0.0
SW4,181.61,-100.33,T,0.0
U1,150.0,-120.0,T,0.0
U2,120.905,-105.445,T,270.0
U3,152.4,-106.68,T,180.0
U4,150.0,-70.0,T,90.0
